"BranchType","DooProcessVersion","StepNumber","ProcessName","StepNumber1","StepNumber2","OrchestrationApplicationId","DooProcessVersion1","LastUpdatedBy","CreatedBy"
"","2","1200","ClickShipCollect2","1300","1100","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1300","ClickShipCollect2","1400","1200","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1400","ClickShipCollect2","1500","1300","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1500","ClickShipCollect2","1600","900","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1500","ClickShipCollect2","","1400","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1600","ClickShipCollect2","1700","1500","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1700","ClickShipCollect2","","1600","10008","2","SCM_IMPL","SCM_IMPL"
"","2","100","ClickShipCollect3","200","","10008","2","SCM_IMPL","SCM_IMPL"
"","2","200","ClickShipCollect3","300","100","10008","2","SCM_IMPL","SCM_IMPL"
"","2","300","ClickShipCollect3","400","200","10008","2","SCM_IMPL","SCM_IMPL"
"","2","400","ClickShipCollect3","500","300","10008","2","SCM_IMPL","SCM_IMPL"
"","2","400","ClickShipCollect3","1100","","10008","2","SCM_IMPL","SCM_IMPL"
"","2","500","ClickShipCollect3","600","400","10008","2","SCM_IMPL","SCM_IMPL"
"","2","600","ClickShipCollect3","700","500","10008","2","SCM_IMPL","SCM_IMPL"
"","2","700","ClickShipCollect3","800","600","10008","2","SCM_IMPL","SCM_IMPL"
"","2","800","ClickShipCollect3","900","700","10008","2","SCM_IMPL","SCM_IMPL"
"","2","900","ClickShipCollect3","1000","800","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1000","ClickShipCollect3","1600","900","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1100","ClickShipCollect3","1200","400","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1200","ClickShipCollect3","1300","1100","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1300","ClickShipCollect3","1400","1200","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1400","ClickShipCollect3","1500","1300","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1500","ClickShipCollect3","1600","1400","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1600","ClickShipCollect3","1700","1000","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1600","ClickShipCollect3","","1500","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1700","ClickShipCollect3","1800","1600","10008","2","SCM_IMPL","SCM_IMPL"
"","2","1800","ClickShipCollect3","","1700","10008","2","SCM_IMPL","SCM_IMPL"
"","1","100","ShipOrderGenericProcessIA1","200","","10008","1","SCM_IMPL","SCM_IMPL"
"","1","200","ShipOrderGenericProcessIA1","300","100","10008","1","SCM_IMPL","SCM_IMPL"
"","1","300","ShipOrderGenericProcessIA1","400","200","10008","1","SCM_IMPL","SCM_IMPL"
"","1","400","ShipOrderGenericProcessIA1","500","300","10008","1","SCM_IMPL","SCM_IMPL"
"","1","600","ShipOrderGenericProcessIA1","700","500","10008","1","SCM_IMPL","SCM_IMPL"
"","1","700","ShipOrderGenericProcessIA1","","600","10008","1","SCM_IMPL","SCM_IMPL"
"","1","500","ShipOrderGenericProcessIA1","600","400","10008","1","SCM_IMPL","SCM_IMPL"
"","2","100","ShipOrderGenericProcessIA1","200","","10008","2","SCM_IMPL","SCM_IMPL"
"","2","200","ShipOrderGenericProcessIA1","300","100","10008","2","SCM_IMPL","SCM_IMPL"
"","2","300","ShipOrderGenericProcessIA1","400","200","10008","2","SCM_IMPL","SCM_IMPL"
"","2","400","ShipOrderGenericProcessIA1","500","300","10008","2","SCM_IMPL","SCM_IMPL"
"","2","500","ShipOrderGenericProcessIA1","600","400","10008","2","SCM_IMPL","SCM_IMPL"
"","2","600","ShipOrderGenericProcessIA1","700","500","10008","2","SCM_IMPL","SCM_IMPL"
"","2","700","ShipOrderGenericProcessIA1","","600","10008","2","SCM_IMPL","SCM_IMPL"
"","1","100","ShipOrderGenericProcessSA1","200","","10008","1","SCM_IMPL","SCM_IMPL"
"","1","200","ShipOrderGenericProcessSA1","300","100","10008","1","SCM_IMPL","SCM_IMPL"
"","1","400","ShipOrderGenericProcessSA1","500","300","10008","1","SCM_IMPL","SCM_IMPL"
"","1","500","ShipOrderGenericProcessSA1","600","400","10008","1","SCM_IMPL","SCM_IMPL"
"","1","600","ShipOrderGenericProcessSA1","700","500","10008","1","SCM_IMPL","SCM_IMPL"
"","1","700","ShipOrderGenericProcessSA1","","600","10008","1","SCM_IMPL","SCM_IMPL"
"","1","300","ShipOrderGenericProcessSA1","400","200","10008","1","SCM_IMPL","SCM_IMPL"
"","1","300","ClickShipCollect4","400","100","10008","1","SCM_IMPL","SCM_IMPL"
"","1","500","ClickShipCollect4","600","400","10008","1","SCM_IMPL","SCM_IMPL"
"","1","500","ClickShipCollect4","1200","","10008","1","SCM_IMPL","SCM_IMPL"
"","1","600","ClickShipCollect4","700","500","10008","1","SCM_IMPL","SCM_IMPL"
"","1","700","ClickShipCollect4","800","600","10008","1","SCM_IMPL","SCM_IMPL"
"","1","800","ClickShipCollect4","900","700","10008","1","SCM_IMPL","SCM_IMPL"
"","1","900","ClickShipCollect4","1000","800","10008","1","SCM_IMPL","SCM_IMPL"
"","1","1000","ClickShipCollect4","1100","900","10008","1","SCM_IMPL","SCM_IMPL"
"","1","1100","ClickShipCollect4","1600","1000","10008","1","SCM_IMPL","SCM_IMPL"
"","1","1200","ClickShipCollect4","1300","500","10008","1","SCM_IMPL","SCM_IMPL"
"","1","1300","ClickShipCollect4","1400","1200","10008","1","SCM_IMPL","SCM_IMPL"
"","1","1400","ClickShipCollect4","1500","1300","10008","1","SCM_IMPL","SCM_IMPL"
"","1","1500","ClickShipCollect4","1600","1400","10008","1","SCM_IMPL","SCM_IMPL"
"","1","1600","ClickShipCollect4","1700","1100","10008","1","SCM_IMPL","SCM_IMPL"
"","1","1600","ClickShipCollect4","","1500","10008","1","SCM_IMPL","SCM_IMPL"
"","1","1700","ClickShipCollect4","1800","1600","10008","1","SCM_IMPL","SCM_IMPL"
"","1","1800","ClickShipCollect4","","1700","10008","1","SCM_IMPL","SCM_IMPL"
"","1","100","ClickShipCollect4","200","","10008","1","SCM_IMPL","SCM_IMPL"
"","1","100","ClickShipCollect4","300","","10008","1","SCM_IMPL","SCM_IMPL"
"","1","200","ClickShipCollect4","400","100","10008","1","SCM_IMPL","SCM_IMPL"
"","1","400","ClickShipCollect4","500","200","10008","1","SCM_IMPL","SCM_IMPL"
"","1","400","ClickShipCollect4","","300","10008","1","SCM_IMPL","SCM_IMPL"
"","1","100","CustomDOO_GSE_Asset_OrderFulfillmentGenericProcess","200","","10008","1","SCM_IMPL","SCM_IMPL"
"","1","200","CustomDOO_GSE_Asset_OrderFulfillmentGenericProcess","300","100","10008","1","SCM_IMPL","SCM_IMPL"
"","1","200","CustomDOO_GSE_Asset_OrderFulfillmentGenericProcess","900","","10008","1","SCM_IMPL","SCM_IMPL"
"","1","200","CustomDOO_GSE_Asset_OrderFulfillmentGenericProcess","700","","10008","1","SCM_IMPL","SCM_IMPL"
"","1","300","CustomDOO_GSE_Asset_OrderFulfillmentGenericProcess","400","200","10008","1","SCM_IMPL","SCM_IMPL"
"","1","400","CustomDOO_GSE_Asset_OrderFulfillmentGenericProcess","500","300","10008","1","SCM_IMPL","SCM_IMPL"
"","1","500","CustomDOO_GSE_Asset_OrderFulfillmentGenericProcess","600","400","10008","1","SCM_IMPL","SCM_IMPL"
"","1","600","CustomDOO_GSE_Asset_OrderFulfillmentGenericProcess","1200","500","10008","1","SCM_IMPL","SCM_IMPL"
"","1","700","CustomDOO_GSE_Asset_OrderFulfillmentGenericProcess","800","200","10008","1","SCM_IMPL","SCM_IMPL"
"","1","800","CustomDOO_GSE_Asset_OrderFulfillmentGenericProcess","1200","700","10008","1","SCM_IMPL","SCM_IMPL"
"","1","900","CustomDOO_GSE_Asset_OrderFulfillmentGenericProcess","1000","200","10008","1","SCM_IMPL","SCM_IMPL"
"","1","1000","CustomDOO_GSE_Asset_OrderFulfillmentGenericProcess","1100","900","10008","1","SCM_IMPL","SCM_IMPL"
"","1","1100","CustomDOO_GSE_Asset_OrderFulfillmentGenericProcess","1200","1000","10008","1","SCM_IMPL","SCM_IMPL"
"","1","1200","CustomDOO_GSE_Asset_OrderFulfillmentGenericProcess","1300","600","10008","1","SCM_IMPL","SCM_IMPL"
