"OrchestrationApplicationCode","StatusCode","ProcessName","SequenceNumber","DooProcessVersion","NotifyFlag","CreatedBy","LastUpdatedBy","ConditionDisplayTaskCode"
"DOO","PRE-ORDER","ClickShipCollect3","3","2","N","SCM_IMPL","SCM_IMPL","""Pre-order""=""WAITING"""
"DOO","RESERVED","ShipOrderProcess1","2","1","","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","AWAIT_SHIP","ShipOrderProcess1","3","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP""OR""DOO_Ship""=""VARIOUS"""
"DOO","BACKORDERED","ShipOrderProcess1","4","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED"""
"DOO","PICKED","ShipOrderProcess1","5","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED"""
"DOO","SHIPPED","ShipOrderProcess1","6","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED"""
"DOO","AWAIT_BILLING","ShipOrderProcess1","7","1","","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""AWAIT_BILLING"""
"DOO","BILLED","ShipOrderProcess1","8","1","","SCM_IMPL","SCM_IMPL","""DOO_Invoice""=""BILLED"""
"DOO","PARTIAL_PICK","ShipOrderProcess1","9","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_PICK"""
"DOO","PARTIAL_BACK","ShipOrderProcess1","10","1","","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PARTIAL_BACK"""
"DOO","CREDIT_CARD_APPROVED","ClickShipCollect3","5","2","N","SCM_IMPL","SCM_IMPL","""Credit Card Payment""=""CREDIT_CARD_APPROVED"""
"DOO","RES_MANUAL","ShipOrderProcess1","13","1","","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""USER_ACTION"""
"DOO","CREDIT_CARD_APPROVED","ClickShipCollect1","5","2","N","SCM_IMPL","SCM_IMPL","""Credit Card Payment""=""CREDIT_CARD_APPROVED"""
"DOO","SCHEDULED","ClickShipCollect1","10","2","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","RESERVED","ClickShipCollect1","20","2","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","SKU_PICKED","ClickShipCollect1","25","2","N","SCM_IMPL","SCM_IMPL","""NotifyStoretoPickSKU""=""SKU_PICKED"""
"DOO","CUSTOMER_NOTIFIED","ClickShipCollect1","30","2","N","SCM_IMPL","SCM_IMPL","""NotifyCustomer""=""CUSTOMER_NOTIFIED"""
"DOO","AWAIT_SHIP","ClickShipCollect1","40","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""AWAIT_SHIP"""
"DOO","AWAIT_CUSTOMER_PICKUP","ClickShipCollect1","45","2","N","SCM_IMPL","SCM_IMPL","""CustomerPickup""=""AWAIT_SHIP"""
"DOO","BACKORDERED","ClickShipCollect1","50","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED""OR""CustomerPickup""=""BACKORDERED"""
"DOO","PICKED","ClickShipCollect1","60","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED""OR""CustomerPickup""=""PICKED"""
"DOO","SHIPPED","ClickShipCollect1","70","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""SHIPPED""OR""CustomerPickup""=""SHIPPED"""
"DOO","BILLED","ClickShipCollect1","90","2","N","SCM_IMPL","SCM_IMPL","""Settlement""=""AWAIT_BILLING""OR""Settlement""=""BILLED"""
"DOO","SCHEDULED","ClickShipCollect3","10","2","N","SCM_IMPL","SCM_IMPL","""DOO_Schedule""=""SCHEDULED"""
"DOO","RESERVED","ClickShipCollect3","20","2","N","SCM_IMPL","SCM_IMPL","""DOO_Reserve""=""RESERVED"""
"DOO","SKU_PICKED","ClickShipCollect3","25","2","N","SCM_IMPL","SCM_IMPL","""NotifyStoretoPickSKU1""=""SKU_PICKED"""
"DOO","CUSTOMER_NOTIFIED","ClickShipCollect3","30","2","N","SCM_IMPL","SCM_IMPL","""NotifyCustomer""=""CUSTOMER_NOTIFIED"""
"DOO","AWAIT_CUSTOMER_PICKUP","ClickShipCollect3","45","2","N","SCM_IMPL","SCM_IMPL","""CustomerPickup""=""AWAIT_SHIP"""
"DOO","BACKORDERED","ClickShipCollect3","50","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED""OR""CustomerPickup""=""BACKORDERED"""
"DOO","PICKED","ClickShipCollect3","60","2","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""PICKED""OR""CustomerPickup""=""PICKED"""
"DOO","BILLED","ClickShipCollect3","90","2","N","SCM_IMPL","SCM_IMPL","""Settlement""=""AWAIT_BILLING""OR""Settlement""=""BILLED"""
"DOO","BACKORDERED","ClickShipCollect1","50","1","N","SCM_IMPL","SCM_IMPL","""DOO_Ship""=""BACKORDERED""OR""CustomerPickup""=""BACKORDERED"""
