"ORA_DOO_ORCHESTRATION_PROCESS_STATUS_RULE_SET.OrchestrationApplicationCode","ORA_DOO_ORCHESTRATION_PROCESS_STATUS_RULE_SET.StatusRulesetCode","Language","Name","SourceLang"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","S","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","SF","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","SK","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","TH","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","TR","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","UK","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","US","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","VN","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","ZHS","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 16 of DOO_DROP_SHIP_AND_BACK_TO_BACK_ORDER_STATUS_RULE_SET","ZHT","Copy 16 of Drop Ship and Back-To-Back Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","AR","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","CS","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","D","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","DK","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","E","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","EL","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","F","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","FRC","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","HR","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","HU","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","I","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","IW","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","JA","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","KO","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","N","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","NL","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","PL","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","PTB","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","RO","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","RU","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","S","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","SF","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","SK","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","TH","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","TR","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","UK","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","US","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","VN","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","ZHS","Copy 2 of Return Order Status Rule Set","US"
"DOO","Copy 2 of DOO_Return_Order_Status_Rule_Set","ZHT","Copy 2 of Return Order Status Rule Set","US"
