"DOO_ORCHESTRATION_PROCESS.DooProcessVersion","DOO_ORCHESTRATION_PROCESS.ProcessName","ORA_DOO_ORCHESTRATION_PROCESS_STEP_DEFINITION.OrchestrationApplicationCode","ORA_DOO_ORCHESTRATION_PROCESS_STEP_DEFINITION.DooProcessVersion","ORA_DOO_ORCHESTRATION_PROCESS_STEP_DEFINITION.StepNumber","Language","SourceLang","StepName","SplitUnitDisplayName"
"2","ClickShipCollect2","DOO","2","1300","UK","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","US","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","VN","US","Awaiting Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1300","ZHS","ZHS","等待客户起运","拆分"
"2","ClickShipCollect2","DOO","2","1300","ZHT","ZHT","等待客戶起隕","拆分"
"2","ClickShipCollect2","DOO","2","1400","AR","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","CS","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","D","D","Warten auf Selbstabholung","Aufteilen"
"2","ClickShipCollect2","DOO","2","1400","DK","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","E","E","Esperar recogida por cliente","Fraccionar"
"2","ClickShipCollect2","DOO","2","1400","EL","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","ESA","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","ET","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","F","F","Attendre l'enlèvement client","Fractionner"
"2","ClickShipCollect2","DOO","2","1400","FRC","FRC","Attendre l'enlèvement client","Fractionner"
"2","ClickShipCollect2","DOO","2","1400","HR","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","HU","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","I","I","In attesa di ritiro cliente","Dividere"
"2","ClickShipCollect2","DOO","2","1400","IS","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","IW","US","Wait for Customer Pickup","Split"
"2","ClickShipCollect2","DOO","2","1400","JA","JA","顧客ピックアップ待ち","分割"
"2","ClickShipCollect2","DOO","2","1400","KO","KO","고객Pickup 대기","분열"
